unit,direct,rep_mar,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
THS_T,OUT,FR,90034,91350,98415,102131,96113,95901,101305,97787,98434,94573,100006,98810,98668,102568,98326,99784,97723,93511,92858,86244,86368,87179,87720,84255,82751
THS_T,OUT,HR,6566,6628,5405,5715,6187,5843,6446,7397,8094,7103,8594,10041,10053,10636,11446,10820,10049,9684,6923,6979,8159,7571,: ,: ,: 
THS_T,OUT,IE,17476,17336,17873,18032,17852,17013,17028,18400,15319,16458,15240,14359,12857,15032,15232,14763,14492,13017,12931,12737,13161,13594,12202,11268,10758
THS_T,OUT,IS,5357,4583,2594,2180,2177,2147,2379,: ,: ,: ,: ,: ,: ,: ,: ,1858,1817,1868,1801,1752,1847,1934,1892,1876,: 
THS_T,OUT,IT,179277,176886,193069,189759,170920,165949,165515,159150,159440,171066,172559,169634,152990,167466,173955,162076,160711,146610,142209,135134,126390,131486,134484,139281,136184
THS_T,OUT,LT,30625,33263,32866,34008,31541,29519,28513,27065,23621,25261,26630,22422,20605,21020,18346,18769,21435,21470,26146,20608,17478,: ,: ,: ,: 
THS_T,OUT,LV,30705,33427,50482,54507,51876,54559,61037,63358,59490,64241,59584,53555,55668,55318,53412,50074,55019,51281,50858,48659,54329,: ,: ,: ,: 
THS_T,OUT,ME,977,1148,1019,776,1213,810,837,534,598,409,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,OUT,MT,399,376,635,527,438,418,296,302,260,243,225,194,164,183,151,230,182,447,441,400,: ,: ,: ,: ,: 
THS_T,OUT,NL,196827,192261,195915,197034,194482,190488,187604,174824,171447,171329,163664,152367,140367,133631,130338,118326,109988,101212,91841,95224,88523,89952,91498,85369,88952
THS_T,OUT,NO,163902,164199,148694,148500,149294,140810,131258,137353,141425,143876,138654,136157,126801,132805,134594,134588,135991,133281,124012,124613,: ,: ,: ,: ,: 
THS_T,OUT,PL,34298,33959,30881,31186,29317,31972,29696,29771,29291,24282,24165,30932,22095,20766,26310,33225,38350,35751,35848,33168,31526,: ,: ,: ,: 
THS_T,OUT,PT,33087,32050,32495,34838,36676,37520,35928,33842,32952,26495,24482,23102,19802,21640,21174,19975,17828,15936,14676,12841,12386,12584,13385,14188,14049
THS_T,OUT,RO,27460,23762,26735,24959,24848,25739,24954,25349,26765,21199,20743,21181,19687,20857,20294,22150,22593,18223,17267,17286,13073,: ,: ,: ,: 
THS_T,OUT,SE,79807,76910,76497,80531,81979,78187,77542,76596,74863,81363,81685,83101,77102,86998,87951,85918,82342,76798,72870,70521,69945,72467,72998,70465,70885
THS_T,OUT,SI,5525,5839,6499,6737,6786,7097,6756,5828,5562,5237,4609,4250,4181,4738,4678,4889,3583,3271,3080,2621,2462,: ,: ,: ,: 
THS_T,OUT,TR,246248,227489,223294,201352,197311,180907,174926,155907,160607,160153,161332,156512,152326,144851,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,OUT,UK,: ,: ,171098,173190,180869,180918,182535,177707,177394,181371,191912,199403,197264,215675,223704,218627,230529,230645,231896,237497,237477,256706,258651,262402,263484
